x1;x2;y
4,74;5,47;C
4,39;5,16;C
2,03;0,77;D
5,51;4,48;C
3,39;3,54;C
2,39;1,16;D
5,98;3,61;C
0,97;0,48;D
4,59;3,41;C
1,24;1,17;D
1,2;2,94;D
0,57;0,13;D
2,21;1,34;D
5,43;3,79;C
4,56;4,16;C
2,68;3,19;D
3,69;6,17;C
4,18;3,96;C
1,95;1,34;D
1,79;3,07;C
4,57;4,49;C
3,59;4,56;C
4,49;2,2;C
1,4;2,02;D
3,59;2,17;D
1,61;-1,39;D
1,18;1,1;D
2,87;3,35;C
0,21;1,49;D
3,38;4,61;C
1,32;0,03;D
5,1;2,78;C
4,34;5,43;C
2,96;3,72;C
-0,16;3,09;D
1,93;-0,23;D
4,7;3,09;C
3,63;3,68;C
1,46;0,73;D
2,53;2,6;D
-0,04;0,45;D
3,31;3,35;C
0,99;0,27;D
5,12;2,75;C
3,84;5,06;C
0,88;0,25;D
3,71;3,3;D
1,48;1,92;D
3,98;3,56;C
2,71;1,49;D
3,96;4,29;C
3,9;5,21;C
4,62;4,59;C
2,29;2,06;D
3,58;0,31;D
3,18;4,19;C
4,94;4;C
0,42;3,02;D
0,08;-0,11;D
4,42;4,27;C
3,94;3,43;C
3,81;0,51;D
4,92;3,43;C
0,82;1,07;D
0,91;1,9;D
4,33;3,26;C
0,88;0,34;D
4,4;3,36;C
3,86;3,82;C
4,76;3,53;C
1,52;2,04;D
3,61;2,72;C
2,56;0,87;D
1,47;1,4;D
1,42;2,07;D
1,29;1,72;D
-0,41;1,91;D
4,07;5,18;C
2,01;2,48;C
2,5;1,19;D
4,78;3,86;C
0,75;4;D
1,71;1,76;D
3,75;4,04;C
2,62;5,59;C
3,95;4,7;C
1,04;1,17;D
1,18;0,57;D
3,37;1,46;D
3,52;4,37;C
4,77;4,91;C
3,37;6,4;C
1,81;0,29;D
1,96;0,86;D
4,36;4,72;C
0,85;1,91;D
0,01;2,49;D
3,84;3,38;C
1,44;1,12;D
1,17;1,44;D
0,12;2,14;D
4,82;4,07;C
3,16;4,69;C
2,53;3,7;C
1,56;1,32;D
5,36;3,46;C
4,58;4,15;C
-0,02;2,33;D
0,38;-0,79;D
3,29;5,77;C
4,39;3,29;C
5,6;4,03;C
1,26;1,5;D
2,84;2,48;D
3,89;4,38;C
-0,14;2,01;D
1,36;1,7;D
3,94;4,33;C
4,88;5,68;C
1,43;2,96;D
